6214	gal0	gal5	gal10	gal15	gal20	gal30	gal45	gal60	gal90	gal120	gal240	gal480	gal720	gal960	gal1200	gal1440	glu0	glu5	glu10	glu15	glu20	glu225	glu25	glu30	glu60	glu120	glu240	glu360	glu480	glu600	glu720
YPL096C	-0.092114694	-0.17433639	0.008683519	0.019461983	0.052435022	0.20949094	0.048412814	0.08302836	0.120275022	0.08540511	-0.01037253	-0.002107284	0.139106614	0.225995049	0.105384786	-0.030842882	-0.020051296	-0.130593139	-0.041978265	-0.159401613	-0.006515578	0.064211803	0.139500079	0.097113301	-0.105950613	-0.026134535	0.141828182	-0.2637648	-0.10784147	-0.190716583	-0.202424179
YPL096W	-0.120982905	-0.15786188	-0.265906824	0.078687907	-0.03416621	0.019542348	0.107627698	0.061039199	-0.1160709	0.482331668	0.248148435	0.294646388	0.306355983	0.167079205	-0.274075941	0.140518487	0.004522107	0.231114721	0.157723023	0.151868031	0.296081855	0.498124124	0.554607967	0.353137404	0.32435534	0.305442825	0.264037627	-0.233406236	-0.28794463	-0.299946604	-0.258486574
YPL097W	-0.363596136	-0.624072451	0.209626104	0.884983174	1.044248654	0.680159875	0.420437196	-0.112160236	-0.064156687	0.09824765	-0.054775268	-0.422609056	-0.391084522	-0.599357554	-0.809633556	-0.591782442	0.069513422	-0.046835942	-0.215833651	-0.000989127	-0.230394923	-0.104513632	-0.084580891	0.069251628	0.038060035	-0.268386538	-0.442035599	-1.311818015	-1.509828234	-1.546054744	-1.16673361
YPL098C	0.157511516	0.108746442	0.128066641	0.153514046	0.091988963	0.234030456	0.522382939	0.609397657	0.437819173	0.445105418	0.495919138	0.333528353	0.521740647	0.361859715	0.267729999	0.383047201	0.172600798	0.160141785	-0.090838484	-0.155195489	-0.126346338	-0.022391608	0.107093343	0.266229481	0.367714607	0.200033096	0.33982838	-0.379335645	-0.157353328	-0.25911168	-0.235423832
YPL099C	-0.436339443	-0.728605525	-0.800424657	-0.807746922	-0.693942231	-0.490097207	-0.055701396	0.035683517	0.009162089	0.116458534	0.310088436	0.307355588	0.365395979	0.179957975	-0.002527743	0.044355565	-0.553259066	-0.837272763	-0.771690636	-0.81336437	-0.527949339	-0.249826437	-0.095440004	0.394304748	0.428990762	0.310468489	0.507588689	-0.246166577	-0.307320617	-0.4319025	-0.357456869
YPL100W	0.419394867	-0.219611805	-0.142937841	0.302783	0.202471346	0.557658062	0.246179877	0.20120532	0.06884376	0.20649464	0.049942822	0.01634714	0.214837518	0.061007827	-0.180151056	-0.298597092	0.295605068	-0.133272512	-0.273021136	-0.358196711	-0.437710554	-0.312641129	-0.155929473	0.048719796	-0.038784939	0.039969157	0.242185001	-0.158384679	-0.083530513	-0.120345543	-0.138736067
YPL101W	-0.132931276	-0.702309273	-0.400804997	-0.026286625	0.298188209	0.058302001	-0.094235144	-0.367191653	-0.486427273	-0.336266917	-0.521811084	-0.410310124	-0.342159467	-0.65391833	-0.436004259	-0.7309764	0.54549274	-0.019086609	-0.175211422	-0.419197184	-0.442325836	-0.296870362	-0.304433753	0.031763708	-0.084696172	-0.188343997	-0.008388168	0.122141695	0.129976214	0.212467743	0.159126009
YPL102C	0.17226433	0.174237379	0.045789503	0.22047059	-0.17927527	-0.149264657	-0.197069634	0.033639909	0.08973527	0.152689768	0.176238996	0.160417855	0.379023151	0.24599968	0.366410531	0.242738102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL103C	0.51051104	0.54984628	0.481371236	0.545474069	0.632020471	0.666246591	0.83440253	0.846730004	0.768603292	0.33428354	0.070068433	-0.029594297	0.184310792	-0.084861106	-0.377077662	-0.635714524	0.292723001	0.244489484	0.267069628	0.137476421	-0.115072981	-0.102450767	-0.117164423	-0.0781133	0.227587598	-0.156040018	0.030322466	-0.071679443	-0.316783172	-0.32806287	-0.260614854
YPL104W	0.591789548	0.580540722	0.419378194	0.66207227	0.292890021	0.74694155	0.452117671	0.870940585	0.652035439	0.341126523	0.041312906	-0.019498414	0.297208759	0.006691241	-0.459905383	-0.440149415	0.320818212	0.392707508	0.253156198	0.0473678	0.034937554	-0.017148413	0.008496482	0.020776322	0.166515096	-0.057102151	-0.02320972	-0.705513981	-0.69122259	-0.727384152	-0.63539077
YPL105C	1.076954766	0.276042759	0.398127004	0.832743234	0.898465477	1.111574184	1.589437212	1.212084051	0.711508623	0.319188685	0.405179332	-1.106343805	-0.983123962	-1.15022959	-1.301748937	-1.561247303	0.884927975	0.161354882	-0.200129524	-0.389335148	-0.82482899	-0.741221997	-0.802761379	-0.776319711	-0.72833215	-1.596691066	-1.482181186	0.190528866	0.242305984	0.133434363	0.150463906
YPL106C	1.610290429	0.910269853	0.915170407	1.067850025	1.114140563	1.778570209	1.639726875	1.743394063	1.164444743	0.625756108	0.360973407	-1.405435584	-1.312230393	-1.657893283	-1.728092112	-1.805815397	0.830963316	0.147320823	-0.34133331	-0.641686258	-0.721339602	-0.895769425	-1.021463299	-1.254482892	-1.209502443	-1.481468182	-1.558541977	0.256692035	0.220951821	0.123024423	0.160032028
YPL107W	-0.186095481	-0.27124048	-0.248275194	-0.123281684	-0.130041559	1.223697397	0.234196889	-0.268243473	-0.000356108	0.128200962	-0.207037589	-0.034632918	0.076205375	-0.251954685	-0.092840148	-0.380352324	0.252815072	-0.131861528	-0.295271247	-0.251862005	-0.159326639	-0.161771578	-0.15341209	0.025981731	0.423317281	0.138332701	-0.506921357	-0.684917111	-0.742646811	-0.722416092	-0.697649196
YPL108W	0.71750705	0.664807204	0.569830444	0.393398865	-0.211606272	-0.506437851	-0.108494204	0.310356151	0.602411709	0.754162228	0.205615918	0.657169132	0.650842978	0.318100704	0.201052468	0.130545143	0.125629196	0.284600383	0.265699141	0.354314599	0.478939218	0.437009117	0.546682857	0.464223919	0.548039789	-0.006642472	-0.173823717	0.329510939	0.677103304	0.515006236	0.427037533
YPL109C	-3.910773637	-4.618184218	-4.746918022	-4.768762361	-4.872261852	-4.817554469	-5.076238466	-4.808029614	-4.757099847	-3.865844489	0.382095007	3.059033651	2.947867195	2.287827936	2.054510177	1.854978522	-3.373442612	-4.03983098	-3.94221691	-4.186974257	-3.99855805	-3.996383598	-3.953288095	-3.630750939	-2.531734147	0.975977173	2.752560587	-0.415477387	-0.462139789	-0.580264025	-0.566653672
YPL110C	0.216592009	0.150688774	0.296326961	0.438778495	0.464879529	0.689839782	0.631960575	0.421913683	0.582782306	0.178960748	-0.051030822	-0.589339127	-0.457885757	-0.401910185	-0.398773414	-0.208381885	0.482993217	0.475994723	0.358087448	0.146185413	-0.006717475	-0.038094004	-0.025990179	-0.265206191	0.060222674	0.056216078	0.136468496	-0.151989549	-0.209104784	-0.273256535	-0.309755166
YPL111W	-0.254365026	-0.252436868	-0.023843747	0.207393591	0.253628743	0.110362719	-0.109830916	-0.211739079	-0.339758319	-0.196523216	-0.119575109	0.043129294	0.014711542	-0.164169318	-0.140456635	-0.10568442	-0.108462587	-0.210561254	-0.238336074	-0.336896383	-0.29135485	-0.260924036	-0.240252394	-0.071569673	-0.0990757	-0.268975223	-0.010303369	-0.894612464	-0.66700793	-0.771337781	-1.008362592
YPL112C	-0.020382667	-0.144572	-0.284016978	-0.035014166	-0.187550972	0.069340459	0.21749399	0.244159517	0.397415714	0.277332246	0.071307651	-0.000746386	0.290424337	0.260645836	0.171681876	0.298591368	-0.163138761	0.124839276	-0.117974043	-0.052285563	0.039368921	0.199375073	0.231910477	0.056074736	0.216202594	0.159427844	0.272684279	0.324312873	0.214132246	0.327013089	0.003291882
YPL113C	-0.210338989	-0.260273743	-0.035056408	-0.250676264	-0.177361245	-0.130934388	-0.043246437	-0.110888606	-0.109540141	0.206100912	0.108328328	-0.120363631	-0.006306345	-0.154377315	-0.067691302	0.067235591	-0.153300269	-0.149172647	0.030277961	0.002957263	-0.112068629	-0.025400068	-0.065190054	-0.034619207	0.093471344	0.01032185	0.064659235	-0.355329086	-0.562389984	-0.846381863	-0.676456023
YPL114W	0.051402583	-0.010724761	-1.266095485	-1.479752872	-1.517400036	-0.628603232	0.950577779	0.917872038	0.701612818	0.374564146	0.327416246	0.082354333	0.20194995	0.27412364	0.392906281	-0.363544312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL115C	0.542485792	0.686841547	0.565803048	-0.047700079	-0.64660597	-1.540622393	-0.519327878	-0.163021753	0.314291053	0.278447131	0.388573887	0.212853931	0.230514547	0.103011424	-0.016404346	-0.015475679	-0.115721984	0.053557205	0.26645471	0.400543849	0.193267661	0.077082059	-0.037033501	-0.23982886	-0.113487326	-0.149638846	-0.487816648	0.158167823	0.234032033	0.215182408	0.193943794
YPL116W	-1.928365843	-1.85403217	-1.248273447	-0.295637303	-0.258189575	0.680216948	0.617003821	0.049672374	0.401812258	0.763630268	0.518724644	0.363902626	0.392209035	0.328221774	0.37534338	0.398423951	0.148270595	-0.283111059	-0.400977473	0.680517737	1.281195001	1.157722668	1.005810742	0.563507191	-0.57942541	-0.48610239	-0.147409758	0.044467315	-0.00574661	-0.003373266	-0.056944675
YPL117C	-0.693760702	-0.810219751	-0.697842292	-0.636697424	-0.373919212	-0.142687857	-0.003055534	-0.037127711	-0.330519345	-0.087301482	-0.260738408	0.348169937	0.440674813	0.105982472	0.140053053	0.02169946	-0.199163799	-0.247312666	-0.446365035	-0.494718549	-0.270720725	-0.14118798	-0.064877105	0.026331992	0.223386343	-0.231138278	0.588966025	-0.488330028	-0.389349824	-0.14927719	-1.068295574
YPL118W	0.503454406	0.560880475	0.096427692	-0.082457878	-0.808743975	-0.880365575	-0.386656332	-0.174621867	0.155314907	0.022339798	0.221033312	0.010195923	0.061363827	0.039443251	-0.203190132	-0.259070993	0.037745212	0.383722658	0.322958204	0.177189736	0.151839138	0.14788835	0.128224683	-0.130541622	0.256446222	0.24700547	-0.059490345	-0.544942266	-0.640170186	-0.657897986	-0.64652249
YPL119C	0.80993019	0.935538306	0.859009745	0.75670218	0.647808511	0.223990894	-0.119371937	-0.246547922	-0.159963669	-0.300488753	-0.321116265	-0.606892837	-0.589100622	-0.660431675	-0.511291131	-0.302790438	0.454814952	0.21582746	0.162373955	0.110769343	-0.03183422	-0.019553633	-0.033016526	-0.011478929	0.095617077	0.04376513	0.299289021	-0.415113071	-0.535761245	-0.577010047	-0.481998175
YPL120W	0.312897785	0.266872085	0.252557417	0.565282486	0.400525465	0.190311189	-0.354574723	-0.477929865	-0.276035462	-0.613468786	-0.578964686	-0.766941754	-0.572012078	-0.241301406	-0.573513091	-0.578316087	-0.026041628	0.191766384	-0.048601752	-0.098576435	-0.004560597	0.065423616	0.245464866	-0.197454225	-0.18418007	-0.246517509	-0.055770825	0.463649217	0.355753983	0.323766952	0.170089664
YPL121C	-0.09747979	-0.035726833	0.122533828	0.457845708	0.617579215	0.474176736	0.160314173	-0.125209361	-0.321634777	-0.359124835	-0.405319143	-0.296794095	-0.415802964	-0.656687552	-0.437486352	-0.419327545	0.250605862	0.172942243	0.11880369	0.139454687	0.129533767	0.163913857	0.17612366	0.138219491	0.043721126	-0.213898978	-0.119600509	0.534481737	0.295474551	0.130426866	0.227883379
YPL122C	0.179647149	0.1367286	0.186711595	0.345111371	0.05390306	0.245533871	-0.074849768	-0.096780375	0.105470586	0.173853641	0.157205242	0.380408121	0.426699271	0.202091853	0.121788951	0.12262691	0.049779346	0.084986519	0.071624928	-0.054094396	0.095320745	0.060525894	0.1349401	0.096470602	0.570417425	0.260850611	0.400862737	0.357173326	0.53098909	0.590572534	0.359669155
YPL123C	-0.141055512	-0.043466745	-0.280664788	0.058721979	-0.190406093	-0.15217443	-0.115737204	-0.093731563	-0.215608252	0.086544219	0.132545366	0.055672216	-0.105738703	-0.148635809	0.020556785	-0.080509222	-0.286393582	-0.455209846	-0.30465434	-0.408215638	-0.352573121	-0.260900579	-0.25194296	-0.169645782	0.019465735	-0.048446737	-0.0726375	-0.56367763	-0.758283751	-0.894656939	-0.821385807
YPL124W	0.207685504	-0.115586711	0.062502466	0.224443387	-0.020807349	0.379630211	0.18934948	0.162988671	0.516165928	0.554674859	0.53283253	0.454173413	0.37368582	0.215746408	0.214173246	0.301777471	-0.144141851	0.156975226	0.033693214	0.137444435	0.239158987	0.232636197	0.348825274	-0.043649015	0.739128375	0.465965307	0.248761831	0.019248913	-0.007402674	0.242085723	0.105348238
YPL125W	0.036692247	-0.256950663	-0.340164307	-0.089966443	-0.199680935	-0.039836779	0.096985114	-0.246227642	-0.978824089	-0.008202767	-0.060590584	0.304851747	-0.103415463	-0.153964681	-0.394831154	0.080026241	-0.152473794	0.230300343	0.025444494	0.383144832	0.521825804	0.36177349	0.323177834	0.314400046	0.350607915	0.153010927	-0.015729075	0.292767784	0.201532134	0.14973716	0.060802907
YPL126W	-0.374107997	-0.055616114	-0.034362449	0.195553988	0.097901602	0.063655095	-0.015598188	0.135866906	-0.216225238	0.09872197	-0.075018709	0.04796353	-0.18875088	-0.152515149	-0.056733436	0.007052543	-0.199948831	-0.408552499	-0.265662579	-0.240229908	-0.150216434	-0.0968559	-0.097507677	0.171779472	-0.098499052	0.143082803	0.256284098	0.346885595	0.567096527	0.693015627	0.492769746
YPL127C	0.082665841	-0.113122706	-0.817786502	-1.39321748	-1.214083701	-0.650541692	0.543060649	0.476459138	0.109974064	0.035104205	0.104319337	0.337860844	-0.020622494	0.0929989	0.240254858	0.377927917	-0.188969097	-0.00029135	-0.056318384	0.119264337	0.076291937	-0.009875061	-0.033432816	-0.054912766	0.275946245	-0.053590937	-0.02536119	-0.288373428	-0.304634738	-0.315344536	-0.106632108
YPL128C	0.222105194	0.222597252	-0.831491155	-0.539449689	-0.514807345	-0.142467974	0.174165028	0.349925582	0.372502449	0.256202352	0.162070079	0.061434408	0.111566482	0.149297602	0.048123107	0.195075259	-0.085482387	0.094666282	0.057396736	0.111643981	0.153524157	0.158925199	0.164913963	-0.06977546	0.04016123	0.090291055	-0.072248522	0.017734518	0.099460514	0.157888694	0.06824306
YPL129W	0.067233151	-0.089331542	-0.205616636	-0.506640516	-0.314469014	-0.256351377	0.109995024	0.059787784	0.112805964	0.212115925	0.304436656	0.205651316	0.216684674	0.173359197	0.15600155	0.21759242	0.022724523	0.077352804	0.062857059	0.23892164	0.107128337	0.051763753	0.039863637	0.027944145	0.120096749	0.040818627	-0.078764878	-0.064866009	0.069277306	0.011210297	0.06930254
YPL130W	-0.213977463	0.016038094	-0.837939005	-0.458838306	-0.609644475	-0.004943339	0.118226719	0.212695501	0.384378425	0.270920515	0.017965275	-0.09687664	-0.198299016	0.01307923	-0.051573674	0.11670159	-0.290785909	-0.222921058	-0.158585205	0.022595907	-0.006424681	0.024580588	0.039203564	0.00064977	-0.221007611	-0.026173032	-0.25859991	2.137409163	2.041170073	2.038987939	1.596551037
YPL131W	0.454569345	0.368311406	0.420820629	0.262714693	0.19764174	-0.001785558	0.234257953	0.023659704	-0.175608329	-0.439119724	-0.2999238	0.153388719	0.151095243	0.084297204	0.103507223	-0.015097083	0.310784613	0.301360862	0.4007193	0.580723118	0.48016582	0.347695829	0.270446335	0.165529023	-0.368135829	-0.363331987	-0.218096756	0.229276538	0.325040741	0.260271366	0.2166565
YPL132W	0.335341316	0.31044734	0.167155334	-0.057361729	-0.19340854	0.074690345	0.095313077	0.141297821	0.294929018	0.1250097	0.08462142	0.003787884	0.09841183	0.050173925	0.211292388	-0.138981766	0.315491809	0.060653341	0.350366885	0.108376975	0.0402065	0.18707531	0.278587392	0.296546581	0.083468239	-0.089057424	-0.205490365	-0.704729936	-0.772844513	-0.312564662	-0.461582963
YPL133C	-0.570356963	-0.27660395	0.20324427	-0.651453142	-0.75806832	1.138953455	0.259192805	-0.514043361	-0.390742326	-0.16171575	-0.994117668	0.555749232	0.966114765	0.356507066	-0.210341372	-0.621202997	0.184772549	-0.131581682	0.3743725	0.641055102	0.533117562	0.506438693	0.43183548	0.469377355	0.331350137	-0.195502946	-0.145737331	-0.033641731	-0.078325296	-0.160510711	-0.117083748
YPL134C	-0.988844551	-0.301226226	0.186746954	-1.344405932	-0.835293327	-1.029171705	-1.188627113	-0.906103731	-0.399328097	-0.509172556	-0.917612092	-0.814000779	-0.070443964	-0.504296072	-0.092271033	-0.129524145	0.463524039	0.741556396	0.56279329	0.352186322	0.362258897	0.314713907	0.361322564	0.368197009	0.509035872	0.618615874	0.549748085	-0.187219181	-0.254348616	-0.241188218	-0.343401913
YPL135W	-0.157398497	-0.208343477	0.0123036	0.277329759	0.384184201	0.276328365	0.045552095	-0.193437212	-0.112144116	-0.069749454	-0.005432448	0.095423918	0.098206985	0.063324918	-0.112335077	-0.09893019	-0.462468276	-0.342681719	-0.61284984	-0.602148116	-0.656788425	-0.498009694	-0.365881335	-0.306923111	-0.351759375	-0.445978389	-0.364178193	-0.700316039	-0.586861059	-0.70201536	-0.957032298
YPL136W	-0.031722114	0.151672276	0.632573321	0.824546534	0.53007279	0.868006975	0.505943949	0.363675715	0.439023056	0.102455045	0.453179344	0.529475414	0.596698718	0.495284994	0.33850957	0.167289801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL137C	-0.729828135	-1.062628204	0.092193691	0.851266321	0.893445984	0.221023805	-0.37360402	-0.332840469	-0.228751506	0.10734074	-0.311231918	-0.488284605	-0.389300337	-0.461668389	-0.130773249	-0.030361168	-0.098240276	-0.843279675	-0.907480165	-0.948318935	-0.785529989	-0.741940857	-0.691081206	-0.398784743	-0.222492238	0.039976277	0.372018831	0.248112527	0.347148195	0.298479567	0.224298127
YPL138C	0.190259	0.350400029	0.157781732	0.087588172	-0.103771517	-0.515053188	-0.545061195	-0.226979044	-0.054172711	-0.188962453	-0.113842811	0.241488682	0.250872013	-0.054514398	-0.155952794	-0.143509796	0.232283051	0.175217798	0.186109681	0.219190299	-0.020725573	0.058025611	0.111108551	0.035974357	0.024324604	0.124585177	0.133408314	-0.34916403	-0.043002611	-0.202096884	-0.199880301
YPL139C	0.467660424	0.533321248	0.18679523	-0.065802764	-0.329283771	-0.815839596	-0.566288798	-0.121785045	-0.429544376	-0.335209156	-0.138031623	-0.134707017	-0.244308111	-0.220864191	-0.329114285	-0.301859206	0.114231764	0.176951005	0.180726652	0.205919658	-0.059625254	-0.162714929	-0.238455753	-0.235229783	-0.056005096	-0.277745359	-0.493569005	-0.142476732	-0.088297103	-0.185452358	-0.143957496
